Query,Año,Citas,Type,Titulo,Abstract,Revista_or_evento,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14
"""soccer"" and ""analytics"" and ""world""",2014,89,Article,Feature-driven visual analytics of soccer data,"Soccer is one the most popular sports today and also very interesting from an scientific point of view. We present a system for analyzing high-frequency position-based soccer data at various levels of detail, allowing to interactively explore and analyze for movement features and game events. Our Visual Analytics method covers single-player, multi-player and event-based analytical views. Depending on the task the most promising features are semi-automatically selected, processed, and visualized. Our aim is to help soccer analysts in finding the most important and interesting events in a match. We present a flexible, modular, and expandable layer-based system allowing in-depth analysis. The integration of Visual Analytics techniques into the analysis process enables the analyst to find interesting events based on classification and allows, by a set of custom views, to communicate the found results. The feedback loop in the Visual Analytics pipeline helps to further improve the classification results. We evaluate our approach by investigating real-world soccer matches and collecting additional expert feedback. Several use cases and findings illustrate the capabilities of our approach.",2014 IEEE conference on visual analytics science and technology (VAST),"Sacha, D","Stein, M.","Schreck, T","Keim, D.","Deussen, O.",-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,35,Article,Visual Soccer Analytics: Understanding the Characteristics of Collective Team Movement Based on Feature-Driven Analysis and Abstraction,"With recent advances in sensor technologies, large amounts of movement data have become available in many application areas. A novel, promising application is the data-driven analysis of team sport. Specifically, soccer matches comprise rich, multivariate movement data at high temporal and geospatial resolution. Capturing and analyzing complex movement patterns and interdependencies between the players with respect to various characteristics is challenging. So far, soccer experts manually post-analyze game situations and depict certain patterns with respect to their experience. We propose a visual analysis system for interactive identification of soccer patterns and situations being of interest to the analyst. Our approach builds on a preliminary system, which is enhanced by semantic features defined together with a soccer domain expert. The system includes a range of useful visualizations to show the ranking of features over time and plots the change of game play situations, both helping the analyst to interpret complex game situations. A novel workflow includes improving the analysis process by a learning stage, taking into account user feedback. We evaluate our approach by analyzing real-world soccer matches, illustrate several use cases and collect additional expert feedback. The resulting findings are discussed with subject matter experts",ISPRS International Journal of Geo-Information,"Stein, M.","Häußler, J.","Jäckle, D.","Janetzko, H.","Schreck, T.","Keim, D.",-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2013,35,Thesis,Machine Learning for Soccer Analytics,"Sports analytics has been successfully applied in sports like baseball and basketball. However, its application in soccer has been limited. Research in soccer analytics with Machine Learning techniques is limited and is mostly employed only for predictions. There is a need to find out if the application of Machine Learning can bring better and more insightful results in soccer analytics. In this thesis, we perform descriptive as well as predictive analysis of soccer matches and player performances. In soccer, it is popular to rely on ratings by experts to assess a player’s performance. However, the experts do not unravel the criteria they use for their rating. We attempt to identify the most important attributes of player’s performance which determine the expert ratings. In this way we find the latent knowledge which the experts use to assign ratings to players. We performed a series of classifications with three different pruning strategies and an array of Machine Learning algorithms. The best results for predicting ratings using performance metrics had mean absolute error of 0.17. We obtained a list of most important performance metrics for each of the four playing positions which approximates the attributes considered by the experts for assigning ratings. Then we find the most influential performance metrics of the players for determining the match outcome and we examine the extent to which the outcome is characterised by the performance attributes of the players. We found 34 performance attributes using which we can predict the match outcome with an accuracy of 63.4%. Next, we devise a method to aggregate individual player ratings to produce a set of team ratings and investigate how closely these team ratings can determine the match outcome. We create 27 different team rating attributes, and using 8 of these attributes aggregated over the player ratings for the current match we obtained a prediction accuracy of 90%. This indicates that the expert ratings are influenced by the match outcome. Then we use a weighted average method to aggregate team ratings over past match performances. We find that match outcomes are best characterised by the ratings for the current match. Next, we investigate how well the expert ratings for the past performances of players predict the next match outcome. We find that we could only manage a prediction accuracy of 53.4% because of the unpredictability of ‘draw’. We conclude that the outcome of a match is correlated to the ratings for the current match only.",University of Leuven,"Kumar, G.",-,-,-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,64,Article,Bagadus: An integrated real-time system for soccer analytics,"The importance of winning has increased the role of performance analysis in the sports industry, and this underscores how statistics and technology keep changing the way sports are played. Thus, this is a growing area of interest, both from a computer system view in managing the technical challenges and from a sport performance view in aiding the development of athletes. In this respect, Bagadus is a real-time prototype of a sports analytics application using soccer as a case study. Bagadus integrates a sensor system, a soccer analytics annotations system, and a video processing system using a video camera array. A prototype is currently installed at Alfheim Stadium in Norway, and in this article, we describe how the system can be used in real-time to playback events. The system supports both stitched panorama video and camera switching modes and creates video summaries based on queries to the sensor system. Moreover, we evaluate the system from a systems point of view, benchmarking different approaches, algorithms, and trade-offs, and show how the system runs in real time.","ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM)","Stensland, H. K.","Gaddam, V. R","Tennøe, M.","Helgedagsrud, E.","Næss, M.","Alstad, H. K.","Mortensen, A.","Langseth, R.","Ljødal, S.","Landsverk, Ø.","Griwodz, C.","Halvorsen, P.","Stenhaug, M.","Johansen, D."
"""soccer"" and ""analytics"" and ""world""",2014,0,Article,World Cup sets US live streaming record,"The world cup has become the most streamed live sporting event in the US, as Americans tune in to this year´s tournament on their smartphones, tablets and computers in record numbers.",FGV Digital Respository,"Bond, S.",-,-,-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,1,Article,B-FASST': A Statistical and Spatial Analysis System to Evaluate Player Performance in Soccer,"Despite soccer being the number one sport in the world in many respects, the “beautiful game” still lags behind other sports in terms of analytics. We propose the FASST system (Football Analytics: Spatial and Statistical) as an instrument to evaluate player performance. In the basic FASST (BFASST) system, a plus/minus-metric subtracts goals conceded from goals scored for each player while on the pitch. Key improvements to the established hockey plus/minus-metric include control for opponents’ strength and for the importance of a goal helping to identify key players. While the plus/minus-metric identifies key players, the spatial portion provides reasons for the players’ performances adding to established spatial mapping techniques. This allows for valid comparisons of a team’s performance when a player was on/off the pitch. The dependent variables evaluating a player’s performance in B-FASST’s spatial analytics are team shots for/against. Maps were created representing the difference between when a player was on/off the pitch which identifies differences in the distribution of shots for/against under different scenarios. When the components of B-FASST work in concert, one can test specific hypotheses. As an example, we show Franck Ribéry’s (Bayern Munich) performance depends strongly on who is playing left back behind him.",SSRN 2643041,"Schultze, S.","Wellbrock, C.M.",-,-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,0,Article,Representative Design and Performance Analysis in Soccer,"The aim of this paper is to show how evaluation of the tactical demands of training exercises and its comparison with match performance can improve the understanding of players and teams’ performance. For that, based on the concept of representative design of practice tasks we present some issues that need to be considered to measure and compare the spatial-temporal relations that sustain the tactical behaviors of players and teams in training exercises and competition.",Journal of Performance Analysis in Sport,"Travassos, B.",-,-,-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,0,Article,Temporal Analysis of Losing Possession of the Ball Leading to Conceding a Goal: A Study of the Incidence of Perturbation in Soccer,"The aim of this study was to examine the temporal occurrence of losing possession of the ball in soccer and its association with conceding a goal. Thirty two senior national teams competing in the 2010 World-Cup in South Africa and twelve youth soccer clubs were selected for match analysis. The results of time distribution analysis showed a significant positive skewness (K-SZ =3, S=0.463, p=0.000) for losing possession of the ball, transition time in senior (K-SZ =1.82, S=1.57, p=0.003) and youth groups (K-SZ =2.85, S=1.29, p=0.002) and normal distribution for variability of time to losing the ball (K-SZ =1.07, S= ?0.280, p=0.19). The results of an independent t test showed that there was a significant difference (t=2.71, p=0.008) in transition time between youth and senior groups. In conclusion, this study showed that the number of times that the ball was lost increased near to a goal being conceded and the duration of the most recent loss was very close to goal-conceding. Thus effective strategies that have been employed to destabilise opponents include increasing the number of perturbations through losing possession of the ball, speeding up the transition periods and the final strike after the opponents lose the ball.",International Journal of Sports Science & Coaching,"Shafizadeh, M.","Lago-Penas, C.","Gridley, A.","Platt, G. K.",-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2016,10,Article,Grand challenge: real-time soccer analytics leveraging low-latency complex event processing,"In this paper, we present a real-time capable event-based system, which is tailored towards analytical query processing in the context of soccer games. The main challenge is to meet the application's strict real-time and low-latency requirements in face of streams of high-velocity sensor data. We describe a workflow-like architecture for query processing based on a publish/subscribe model. Queries are structured into computational tasks that are arranged sequentially and/or in parallel. Tasks are connected by preallocated ring buffers providing total event ordering and fast as well as decoupled event access. Our evaluation results show the effectiveness of the proposed system in terms of low-latency processing under real-time conditions. Speeding up the system by a factor of 50 compared to real-time introduces almost no latency overhead.",Proceedings of the 7th ACM international conference on Distributed event-based systems,"Jergler, M.","Doblander, C.","Najafi, M.","Jacobsen, H. A.",-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,29,Article,What Businesses Can Learn From Sports Analytics,"The use of analytics in the sports world has much to teach managers about alignment, performance improvement and business ecosystems.",MIT Sloan Management Review,"Davenport, T. H.",-,-,-,-,-,-,-,-,-,-,-,-,-
